Episodes/10,Return
1,0
2,12
3,25
4,33
5,44
6,68
7,87
8,124
9,139
10,160
11,190
12,220
13,260
14,288
15,327
16,382
17,431
18,465
19,497
20,518
21,553
22,574
23,603
24,623
25,653
26,685
27,713
28,736
29,757
30,787
31,813
32,849
33,877
34,897
35,931
36,958
37,992
38,1031
39,1065
40,1093
41,1131
42,1155
43,1193
44,1216
45,1240
46,1258
47,1273
48,1290
49,1310
50,1332
51,1352
52,1384
53,1406
54,1437
55,1467
56,1489
57,1502
58,1516
59,1537
60,1558
61,1570
62,1592
63,1610
64,1632
65,1664
66,1697
67,1731
68,1765
69,1801
70,1831
71,1864
72,1902
73,1928
74,1953
75,1979
76,2002
77,2020
78,2046
79,2080
80,2124
81,2158
82,2186
83,2219
84,2253
85,2293
86,2335
87,2384
88,2437
89,2475
90,2515
91,2555
92,2587
93,2616
94,2642
95,2663
96,2690
97,2712
98,2735
99,2767
100,2789
101,2813
102,2849
103,2883
104,2911
105,2953
106,2991
107,3031
108,3052
109,3092
110,3117
111,3140
112,3155
113,3181
114,3219
115,3251
116,3274
117,3306
118,3325
119,3342
120,3352
1,2
2,4
3,8
4,22
5,29
6,33
7,35
8,43
9,52
10,62
11,76
12,86
13,98
14,102
15,111
16,117
17,125
18,135
19,143
20,147
21,158
22,167
23,173
24,181
25,186
26,194
27,206
28,212
29,222
30,238
31,244
32,260
33,268
34,282
35,290
36,306
37,316
38,329
39,337
40,349
41,359
42,375
43,391
44,406
45,417
46,430
47,443
48,452
49,458
50,476
51,494
52,512
53,529
54,563
55,602
56,617
57,635
58,655
59,681
60,715
61,747
62,775
63,810
64,855
65,887
66,909
67,937
68,975
69,1023
70,1070
71,1102
72,1149
73,1175
74,1202
75,1232
76,1258
77,1275
78,1305
79,1339
80,1375
81,1401
82,1437
83,1485
84,1521
85,1546
86,1594
87,1619
88,1636
89,1657
90,1698
91,1746
92,1783
93,1811
94,1835
95,1856
96,1880
97,1904
98,1935
99,1969
100,1994
101,2006
102,2026
103,2048
104,2078
105,2112
106,2138
107,2166
108,2194
109,2222
110,2246
111,2290
112,2331
113,2355
114,2394
115,2421
116,2460
117,2498
118,2530
119,2559
120,2595
1,28
2,70
3,109
4,137
5,186
6,218
7,264
8,300
9,325
10,375
11,404
12,444
13,492
14,530
15,579
16,626
17,653
18,686
19,719
20,745
21,763
22,792
23,820
24,846
25,873
26,893
27,924
28,950
29,971
30,989
31,1008
32,1032
33,1054
34,1076
35,1116
36,1136
37,1158
38,1182
39,1222
40,1255
41,1302
42,1327
43,1360
44,1388
45,1422
46,1464
47,1497
48,1528
49,1546
50,1562
51,1596
52,1626
53,1662
54,1700
55,1742
56,1778
57,1806
58,1834
59,1866
60,1904
61,1940
62,1971
63,2003
64,2040
65,2062
66,2090
67,2124
68,2152
69,2180
70,2194
71,2211
72,2231
73,2251
74,2275
75,2301
76,2319
77,2331
78,2350
79,2378
80,2404
81,2425
82,2440
83,2448
84,2479
85,2519
86,2541
87,2570
88,2596
89,2631
90,2652
91,2681
92,2703
93,2733
94,2759
95,2801
96,2823
97,2842
98,2871
99,2882
100,2898
101,2913
102,2937
103,2965
104,2983
105,3013
106,3031
107,3062
108,3082
109,3106
110,3125
111,3136
112,3162
113,3181
114,3199
115,3231
116,3267
117,3305
118,3328
119,3352
120,3371
1,14
2,35
3,74
4,128
5,154
6,204
7,258
8,300
9,321
10,350
11,373
12,400
13,422
14,458
15,496
16,536
17,575
18,613
19,650
20,686
21,730
22,760
23,803
24,850
25,869
26,900
27,919
28,946
29,974
30,1008
31,1044
32,1076
33,1096
34,1128
35,1151
36,1181
37,1201
38,1222
39,1236
40,1264
41,1292
42,1329
43,1375
44,1405
45,1438
46,1466
47,1502
48,1534
49,1560
50,1594
51,1618
52,1660
53,1695
54,1735
55,1764
56,1793
57,1830
58,1864
59,1900
60,1918
61,1935
62,1963
63,1993
64,2014
65,2028
66,2054
67,2085
68,2099
69,2120
70,2145
71,2177
72,2209
73,2227
74,2241
75,2269
76,2288
77,2322
78,2349
79,2374
80,2400
81,2423
82,2453
83,2483
84,2513
85,2551
86,2577
87,2603
88,2632
89,2655
90,2679
91,2695
92,2729
93,2755
94,2775
95,2796
96,2826
97,2856
98,2879
99,2897
100,2923
101,2945
102,2979
103,3001
104,3037
105,3065
106,3088
107,3114
108,3136
109,3164
110,3192
111,3216
112,3251
113,3283
114,3302
115,3325
116,3348
117,3373
118,3389
119,3413
120,3440
1,16
2,62
3,80
4,92
5,117
6,142
7,160
8,188
9,222
10,260
11,290
12,319
13,361
14,390
15,410
16,436
17,474
18,512
19,540
20,577
21,621
22,648
23,678
24,700
25,733
26,773
27,806
28,824
29,862
30,885
31,907
32,941
33,979
34,1013
35,1048
36,1078
37,1098
38,1121
39,1135
40,1163
41,1207
42,1245
43,1266
44,1308
45,1343
46,1380
47,1423
48,1457
49,1503
50,1535
51,1560
52,1580
53,1602
54,1627
55,1644
56,1664
57,1691
58,1711
59,1735
60,1765
61,1788
62,1817
63,1837
64,1859
65,1883
66,1915
67,1965
68,2007
69,2041
70,2058
71,2075
72,2090
73,2114
74,2132
75,2158
76,2180
77,2202
78,2225
79,2243
80,2273
81,2294
82,2311
83,2327
84,2354
85,2382
86,2409
87,2429
88,2458
89,2478
90,2499
91,2518
92,2544
93,2578
94,2616
95,2644
96,2662
97,2686
98,2716
99,2742
100,2776
101,2818
102,2858
103,2880
104,2896
105,2910
106,2930
107,2954
108,2999
109,3054
110,3081
111,3116
112,3154
113,3184
114,3212
115,3248
116,3274
117,3303
118,3337
119,3365
120,3380
