Episodes/10,Return
1,16960.99999999939
2,25161.100000006518
3,30841.300000013718
4,35013.900000020956
5,39100.60000002821
6,42291.100000035476
7,45160.80000004276
8,47855.20000005004
9,50389.20000005733
10,52843.000000064625
11,55041.300000071926
12,57334.700000079225
13,59372.60000008653
14,61410.50000009384
15,62807.700000101155
16,64590.10000010847
17,66467.6000000998
18,67799.50000007052
19,69406.60000004125
20,71028.60000001197
21,72185.19999998267
22,73712.09999995338
23,75253.89999992409
24,76235.19999989477
25,77696.79999986547
26,78773.19999983616
27,80139.69999980685
28,81150.79999977752
29,82327.0999997482
30,83708.49999971889
31,84178.6999996895
32,84473.69999966011
1,16960.999999999403
2,25336.400000006528
3,30911.40000001373
4,35013.90000002097
5,39100.60000002822
6,42210.90000003549
7,45160.80000004277
8,47855.200000050056
9,50399.300000057345
10,52843.00000006464
11,55136.40000007194
12,57334.70000007924
13,59372.600000086546
14,61410.50000009385
15,62807.70000010117
16,64590.10000010848
17,66467.60000009948
18,67799.5000000702
19,69406.60000004093
20,71028.60000001165
21,72185.19999998235
22,73712.09999995306
23,75253.89999992377
24,76235.19999989445
25,77696.79999986515
26,78773.19999983584
27,80059.49999980652
28,81150.7999997772
29,82327.09999974788
30,83708.49999971857
31,84178.69999968918
32,84473.69999965979
1,16960.99999999939
2,25266.300000006515
3,30841.300000013718
4,34933.70000002096
5,39100.60000002821
6,42210.90000003548
7,45160.80000004276
8,47855.20000005004
9,50389.20000005733
10,52843.000000064625
11,55041.300000071926
12,57334.700000079225
13,59372.60000008653
14,61410.50000009384
15,62737.600000101156
16,64590.10000010847
17,66467.60000010053
18,67799.50000007125
19,69406.60000004197
20,71028.6000000127
21,72185.1999999834
22,73641.9999999541
23,75253.89999992482
24,76154.99999989549
25,77696.7999998662
26,78597.89999983687
27,80059.49999980757
28,81150.79999977825
29,82246.89999974892
30,83708.49999971961
31,84178.69999969023
32,84473.69999966084
1,16890.899999999372
2,25161.1000000065
3,30736.100000013703
4,34933.70000002094
5,39030.50000002819
6,42210.90000003546
7,45160.800000042735
8,47855.20000005002
9,50389.20000005731
10,52843.0000000646
11,55041.300000071904
12,57334.7000000792
13,59372.60000008651
14,61410.500000093816
15,62807.70000010113
16,64590.10000010845
17,66467.60000010012
18,67799.50000007084
19,69406.60000004157
20,71028.60000001229
21,72185.19999998299
22,73712.0999999537
23,75253.89999992441
24,76235.19999989509
25,77696.79999986579
26,78597.89999983646
27,80059.49999980716
28,81150.79999977784
29,82246.89999974851
30,83708.4999997192
31,84354.09999968985
32,85735.49999966053
33,86205.69999963115
34,86500.69999960175
1,16960.99999999941
2,25336.400000006535
3,30911.40000001374
4,35013.90000002098
5,39100.60000002823
6,42210.9000000355
7,45160.80000004278
8,47855.20000005006
9,50389.20000005735
10,52843.00000006465
11,55041.30000007195
12,57334.70000007925
13,59372.60000008655
14,61410.50000009386
15,62807.70000010118
16,64590.10000010849
17,66467.60000010002
18,67799.50000007074
19,69406.60000004146
20,71028.60000001219
21,72185.19999998288
22,73631.89999995359
23,75253.89999992431
24,76154.99999989498
25,77696.79999986569
26,78597.89999983636
27,80059.49999980706
28,81150.79999977774
29,82246.8999997484
30,83628.2999997191
31,84178.69999968972
32,84824.39999966037
33,86030.49999963104
34,86500.69999960165
1,16960.99999999938
2,25256.20000000651
3,30831.200000013712
4,34933.70000002095
5,39100.6000000282
6,42210.90000003547
7,45160.80000004275
8,47855.200000050034
9,50389.200000057324
10,52843.00000006462
11,55041.30000007192
12,57334.70000007922
13,59372.600000086524
14,61410.50000009383
15,62807.70000010115
16,64590.10000010846
17,66467.60000009972
18,67799.50000007043
19,69406.60000004116
20,71028.60000001188
21,72185.19999998258
22,73712.0999999533
23,75253.899999924
24,76235.19999989468
25,77696.79999986538
26,78692.99999983606
27,80059.49999980675
28,81150.79999977743
29,82246.8999997481
30,83708.4999997188
31,84178.69999968942
32,84473.69999966002
1,16880.79999999937
2,25161.100000006496
3,30736.1000000137
4,34933.70000002094
5,39020.30000002819
6,42210.90000003546
7,45160.800000042735
8,47855.20000005002
9,50389.20000005731
10,52762.800000064606
11,55041.300000071904
12,57254.500000079206
13,59372.60000008651
14,61410.500000093816
15,62807.70000010113
16,64590.10000010845
17,66467.60000010031
18,67799.50000007103
19,69406.60000004176
20,71028.60000001248
21,72185.19999998318
22,73712.09999995389
23,75253.8999999246
24,76165.09999989528
25,77696.79999986598
26,78597.89999983665
27,80059.49999980735
28,81150.79999977803
29,82246.8999997487
30,83708.4999997194
31,84178.69999969001
32,84473.69999966062
1,16890.89999999937
2,25161.100000006496
3,30736.1000000137
4,34933.70000002094
